,latitude,longitude,color,most similar,type
0,19.0,-8.1,"(240, 242, 227)","(255, 245, 208)",ARID
1,19.0,-8.0,"(232, 241, 220)","(255, 245, 208)",ARID
2,19.0,-7.9,"(242, 239, 229)","(255, 245, 208)",ARID
3,19.0,-7.8,"(226, 241, 216)","(255, 245, 208)",ARID
4,19.0,-7.7,"(240, 239, 230)","(255, 245, 208)",ARID
5,19.0,-7.6,"(232, 242, 220)","(255, 245, 208)",ARID
6,19.0,-7.5,"(228, 241, 218)","(255, 245, 208)",ARID
7,19.0,-7.4,"(237, 238, 226)","(255, 245, 208)",ARID
8,19.0,-7.3,"(237, 238, 228)","(255, 245, 208)",ARID
9,19.0,-7.2,"(242, 239, 233)","(255, 245, 208)",ARID
10,19.0,-7.1,"(242, 239, 233)","(255, 245, 208)",ARID
11,19.0,-7.0,"(188, 168, 183)","(168, 253, 227)",SUB HUMID
12,19.0,-6.9,"(242, 239, 233)","(255, 245, 208)",ARID
13,19.0,-6.8,"(220, 210, 214)","(255, 245, 208)",ARID
14,19.0,-6.7,"(237, 234, 228)","(255, 245, 208)",ARID
15,19.0,-6.6,"(242, 239, 233)","(255, 245, 208)",ARID
16,19.0,-6.5,"(242, 239, 233)","(255, 245, 208)",ARID
17,19.0,-6.4,"(242, 239, 233)","(255, 245, 208)",ARID
18,19.0,-6.3,"(241, 189, 195)","(255, 245, 208)",ARID
19,19.0,-6.2,"(227, 235, 216)","(255, 245, 208)",ARID
20,19.0,-6.1,"(240, 238, 231)","(255, 245, 208)",ARID
21,19.0,-6.0,"(242, 239, 233)","(255, 245, 208)",ARID
22,19.0,-5.9,"(237, 234, 229)","(255, 245, 208)",ARID
23,19.0,-5.8,"(234, 230, 226)","(255, 245, 208)",ARID
24,19.0,-5.7,"(215, 202, 209)","(255, 245, 208)",ARID
25,19.0,-5.6,"(241, 238, 232)","(255, 245, 208)",ARID
26,19.0,-5.5,"(242, 239, 233)","(255, 245, 208)",ARID
27,19.0,-5.4,"(242, 239, 233)","(255, 245, 208)",ARID
28,19.0,-5.3,"(242, 239, 233)","(255, 245, 208)",ARID
29,19.0,-5.2,"(242, 240, 234)","(255, 255, 255)",HYPER ARID
30,19.0,-5.1,"(242, 239, 233)","(255, 245, 208)",ARID
31,19.0,-5.0,"(215, 225, 227)","(255, 245, 208)",ARID
32,19.0,-4.9,"(248, 232, 227)","(255, 245, 208)",ARID
33,19.0,-4.8,"(244, 242, 236)","(255, 255, 255)",HYPER ARID
34,19.0,-4.7,"(234, 236, 225)","(255, 245, 208)",ARID
