Lat;Lon;WILAYA;Commune;OWNER;FIELD;N;P;K;humidity;ph;type;Ec
27.9567592591232;-0.30418974462284387;ADRAR;OULED AHMED TAMI;42;83;86;36;24;42.89187265;5.787268394;NT;0.88
27.957331732070127;-0.3430761699078905;ADRAR;OULED AHMED TAMI;42;83;79;45;20;49.24537979;5.715208817000001;NT;0.90
27.958906015820148;-0.3762916546258212;ADRAR;OULED AHMED TAMI;42;83;63;35;16;45.35549924;6.272417541;NT;0.88
27.96777882181407;-0.42311739102087553;ADRAR;BOUDA;43;84;75;53;18;49.4375337;6.864793607;WR;0.70
27.97350282579509;-0.42279333751143233;ADRAR;BOUDA;43;84;76;48;18;49.63481219;5.77597783;WR;0.88
27.976507806579576;-0.309374604925795;ADRAR;OULED AHMED TAMI;42;83;72;60;25;49.0276233;5.773454729;NT;0.88
27.980800490672948;-0.3886056879846637;ADRAR;OULED AHMED TAMI;42;82;66;44;20;49.02298571;6.740000687999999;NT;1.20
27.990816089070908;-0.3126151400202273;ADRAR;OULED AHMED TAMI;42;83;67;51;24;41.32026065;5.584171461;NT;0.70
27.992389884228956;-0.39865134677740377;ADRAR;OULED AHMED TAMI;42;82;77;58;19;46.50768935;5.791649933;NT;0.88
31.605353094759426;-2.20167972478644;BECHAR;BECHAR;40;78;99;36;20;45.34583901;6.671085817000001;NT;0.88
31.60596099657869;-2.2007936631680964;BECHAR;BECHAR;40;78;63;43;17;45.47050802;6.807487794;NT;0.90
31.60610773090596;-2.2014089837363904;BECHAR;BECHAR;40;78;77;36;23;46.73426469;6.648725327;NT;0.90
31.60657937539171;-2.2005106157066807;BECHAR;BECHAR;40;80;87;60;23;43.91281869;6.439071996;NT;1.20
31.607784678223325;-2.2005598413521446;BECHAR;BECHAR;40;80;60;38;17;44.23580251;6.474476516;NT;1.20
31.608256314214394;-2.2048424725074725;BECHAR;GOURAY;41;81;84;44;21;41.91044947;5.850439831;NT;1.20
31.60834016036267;-2.2041533134709828;BECHAR;GOURAY;41;81;95;38;22;41.24500053;5.730617109;NT;0.88
31.608864197078702;-2.2038702660095675;BECHAR;BECHAR;40;80;94;54;17;41.74427165;5.871647806;NT;1.20
33.22806982672605;6.797115968275339;EL OUED;OUED EL ALENDA;45;87;94;50;19;43.62548442;5.873242491;RG;0.70
33.229289630809845;6.780589237917819;EL OUED;OUED EL ALENDA;45;86;96;54;22;41.33450447;6.960358276;RG;0.88
33.23078047936447;6.748507937812043;EL OUED;OUED EL ALENDA;45;87;76;39;24;45.64709899;6.995843776;RG;1.00
33.2310515400076;6.7825335591363505;EL OUED;OUED EL ALENDA;45;86;99;39;18;48.30578978;6.11275104;RG;0.88
33.2569339596462;6.772163845970847;EL OUED;OUED EL ALENDA;45;86;62;48;20;40.47470519;6.708446922;RG;0.90
33.27237845268125;6.8011666374806135;EL OUED;OUED EL ALENDA;45;87;86;37;16;49.21235483;5.561510732;AR;1.20
33.30223302605591;6.853438201483953;EL OUED;BAYADHA;46;88;81;49;20;40.61494304;5.513697923;RG;0.88
33.30523672489035;6.857796789321691;EL OUED;BAYADHA;46;88;74;39;23;45.77472881;6.78073637;RG;0.90
33.30651486322941;6.858714386761215;EL OUED;BAYADHA;46;88;77;52;17;45.7420046;5.714799723;RG;0.90
33.337534677676466;6.8875338700812945;EL OUED;EL OUED;44;85;73;45;21;43.58868502;6.636803222999999;RG;1.20
33.34847380815002;6.8769854742804615;EL OUED;EL OUED;44;85;81;45;23;48.03449300000001;6.192360002999999;RG;1.00
33.36334703881158;6.880986589929053;EL OUED;EL OUED;44;85;71;35;24;49.52193158;5.826426917;RG;0.70
35.123033159625564;-0.6050950868788652;SIDI BEL ABBES;AMARNA;31;64;67;60;25;66.78627406;5.750254943;CL;0.88
35.12599735403716;-0.6431485216574111;SIDI BEL ABBES;AMARNA;31;64;70;44;19;73.4541537;5.852607099;CL;0.90
35.14674369411087;-0.6105312918472288;SIDI BEL ABBES;AMARNA;31;63;76;44;17;62.55424820000001;5.855442401;CL;0.70
35.15044784134474;-0.6377123166890473;SIDI BEL ABBES;AMARNA;31;63;89;60;19;66.69029010000001;5.913664501;CL;0.88
35.16378137523234;-0.6277459409137139;SIDI BEL ABBES;AMARNA;31;63;93;41;17;66.50415474;6.047906679;CL;0.90
35.4528753794758;-0.5471089010375988;ORAN;TAFRAOUI;32;66;66;54;21;60.200168700000006;5.919045532;NT;1.20
35.45508949585174;-0.5443907985534169;ORAN;TAFRAOUI;32;66;92;44;16;65.76816093;6.082973754;NT;0.88
35.45730355130008;-0.5371425252622652;ORAN;TAFRAOUI;32;65;62;52;16;58.84015925;6.9670577620000005;NT;0.70
35.462469443729695;-0.5271761494869318;ORAN;TAFRAOUI;32;65;90;49;21;68.3584573;6.4725232870000005;NT;0.88
35.54393216110983;-0.4399109209712981;ORAN;OUED TLILAT;33;68;61;41;17;65.26185135;6.021902237000001;NT;1.20
35.54501716130353;-0.43857744729539977;ORAN;OUED TLILAT;33;68;70;47;17;70.4162444;6.600827017;NT;1.20
35.54610214681737;-0.44023615845322456;ORAN;OUED TLILAT;33;67;63;58;22;55.28220433;6.204747652999999;NT;0.88
35.61799708550816;3.2039720189881384;DJELFA;BIRINE;38;75;76;57;18;44.52600826;6.092725883;CL;0.90
35.618589798343464;3.2055922865353548;DJELFA;BIRINE;38;74;98;35;18;44.82913698;6.252797547999999;CL;0.88
35.620170344428814;3.2049441795164686;DJELFA;BIRINE;38;75;99;56;17;43.13112261;6.234330356;CL;0.88
35.63353788048159;3.217096186120589;DJELFA;BIRINE;38;74;98;44;21;44.089114;6.524478032;CL;0.88
