,latitude,longitude,color,most similar,type
0,19.0,-8.1,"(240, 242, 227)","(255, 245, 208)",ARID
1,19.0,-7.6,"(232, 242, 220)","(255, 245, 208)",ARID
2,19.0,-7.1,"(242, 239, 233)","(255, 245, 208)",ARID
3,19.0,-6.6,"(242, 239, 233)","(255, 245, 208)",ARID
4,19.0,-6.1,"(240, 238, 231)","(255, 245, 208)",ARID
5,19.0,-5.6,"(241, 238, 232)","(255, 245, 208)",ARID
6,19.0,-5.1,"(242, 239, 233)","(255, 245, 208)",ARID
7,19.0,-4.6,"(244, 242, 237)","(255, 255, 255)",HYPER ARID
8,19.0,-4.1,"(232, 234, 220)","(255, 245, 208)",ARID
9,19.0,-3.6,"(242, 239, 233)","(255, 245, 208)",ARID
10,19.0,-3.1,"(246, 228, 229)","(255, 245, 208)",ARID
11,19.0,-2.6,"(221, 228, 210)","(255, 245, 208)",ARID
12,19.0,-2.1,"(202, 187, 200)","(255, 245, 208)",ARID
13,19.0,-1.6,"(236, 230, 232)","(255, 245, 208)",ARID
14,19.0,-1.1,"(226, 183, 185)","(255, 245, 208)",ARID
15,19.0,-0.6,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
16,19.0,-0.1,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
17,19.0,0.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
18,19.0,0.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
19,19.0,1.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
20,19.0,1.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
21,19.0,2.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
22,19.0,2.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
23,19.0,3.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
24,19.0,3.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
25,19.0,4.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
26,19.0,4.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
27,19.0,5.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
28,19.0,5.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
29,19.0,6.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
30,19.0,6.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
31,19.0,7.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
32,19.0,7.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
33,19.0,8.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
34,19.0,8.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
35,19.0,9.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
36,19.0,9.9,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
37,19.0,10.4,"(170, 211, 223)","(168, 253, 227)",SUB HUMID
